iter	Passed	Remaining
0	264	264247
1	266	133220
2	271	90243
3	274	68294
4	276	55103
5	279	46325
6	281	40000
7	284	35233
8	287	31669
9	297	29417
10	301	27138
11	305	25186
12	309	23521
13	313	22058
14	316	20750
15	318	19609
16	325	18796
17	329	17987
18	332	17182
19	341	16723
20	344	16064
21	347	15457
22	350	14891
23	357	14548
24	360	14072
25	363	13626
26	366	13213
27	369	12828
28	372	12485
29	375	12151
30	378	11840
31	389	11773
32	391	11483
33	394	11200
34	396	10929
35	403	10808
36	411	10709
37	418	10597
38	421	10377
39	423	10168
40	427	9998
41	430	9811
42	434	9677
43	437	9499
44	439	9330
45	442	9169
46	444	9008
47	446	8864
48	449	8721
49	451	8573
50	452	8422
51	454	8279
52	455	8143
53	457	8010
54	458	7884
55	462	7789
56	464	7678
57	465	7565
58	467	7454
59	468	7346
60	470	7241
61	472	7141
62	473	7045
63	475	6950
64	477	6869
65	479	6784
66	481	6699
67	481	6604
68	483	6522
69	484	6440
70	486	6364
71	487	6289
72	489	6214
73	490	6142
74	493	6084
75	494	6015
76	496	5950
77	497	5884
78	499	5820
79	500	5757
80	502	5697
81	503	5638
82	505	5580
83	506	5523
84	508	5469
85	512	5442
86	514	5395
87	516	5348
88	521	5333
89	524	5299
90	528	5276
91	530	5236
92	532	5190
93	533	5144
94	535	5100
95	536	5055
96	538	5009
97	539	4964
98	542	4938
99	544	4901
100	546	4860
101	546	4813
102	547	4772
103	549	4732
104	550	4692
105	551	4653
106	552	4615
107	554	4577
108	556	4545
109	558	4514
110	559	4479
111	560	4444
112	561	4409
113	563	4376
114	564	4342
115	565	4309
116	566	4279
117	568	4248
118	569	4215
119	570	4185
120	573	4168
121	575	4140
122	575	4106
123	577	4077
124	578	4052
125	580	4025
126	581	3998
127	582	3968
128	583	3942
129	585	3915
130	586	3889
131	588	3867
132	589	3844
133	591	3822
134	593	3800
135	594	3777
136	596	3755
137	597	3734
138	600	3717
139	601	3695
140	602	3673
141	605	3656
142	606	3635
143	608	3614
144	609	3595
145	611	3574
146	612	3553
147	613	3532
148	614	3511
149	616	3494
150	618	3475
151	620	3461
152	622	3446
153	623	3427
154	625	3408
155	626	3388
156	627	3370
157	629	3352
158	630	3335
159	631	3317
160	633	3299
161	634	3281
162	636	3266
163	637	3249
164	638	3232
165	639	3215
166	641	3198
167	642	3181
168	643	3166
169	645	3150
170	646	3133
171	647	3117
172	648	3102
173	650	3086
174	651	3071
175	652	3055
176	653	3040
177	655	3025
178	656	3010
179	657	2995
180	658	2978
181	664	2985
182	666	2976
183	668	2962
184	669	2948
185	670	2934
186	671	2921
187	673	2907
188	674	2894
189	676	2881
190	677	2868
191	678	2855
192	679	2842
193	681	2829
194	682	2817
195	683	2804
196	684	2792
197	686	2779
198	687	2767
199	688	2755
200	690	2743
201	691	2732
202	692	2720
203	694	2708
204	695	2696
205	696	2684
206	697	2673
207	699	2663
208	700	2652
209	702	2641
210	703	2630
211	704	2619
212	706	2608
213	707	2598
214	708	2587
215	709	2576
216	711	2566
217	712	2555
218	713	2545
219	715	2535
220	716	2524
221	717	2514
222	718	2504
223	720	2494
224	723	2491
225	724	2481
226	725	2471
227	727	2461
228	728	2452
229	729	2442
230	730	2433
231	732	2423
232	733	2414
233	734	2405
234	736	2396
235	737	2387
236	738	2378
237	740	2370
238	741	2362
239	743	2353
240	744	2345
241	745	2336
242	747	2327
243	748	2318
244	749	2310
245	750	2301
246	752	2293
247	753	2285
248	754	2277
249	756	2268
250	757	2260
251	758	2252
252	760	2244
253	761	2236
254	762	2227
255	763	2219
256	765	2212
257	766	2205
258	768	2197
259	769	2189
260	770	2181
261	771	2174
262	773	2166
263	774	2158
264	775	2151
265	776	2143
266	778	2136
267	779	2128
268	780	2121
269	782	2114
270	783	2107
271	784	2100
272	785	2092
273	787	2085
274	788	2078
275	789	2071
276	790	2064
277	792	2057
278	793	2050
279	794	2043
280	796	2036
281	797	2030
282	799	2026
283	802	2022
284	803	2015
285	804	2008
286	805	2002
287	807	1995
288	808	1988
289	809	1982
290	810	1975
291	812	1970
292	814	1964
293	815	1958
294	816	1951
295	817	1945
296	819	1939
297	820	1932
298	821	1926
299	822	1920
300	824	1913
301	825	1907
302	826	1901
303	828	1895
304	829	1889
305	830	1883
306	832	1878
307	833	1873
308	835	1868
309	836	1862
310	838	1856
311	839	1850
312	840	1845
313	842	1839
314	843	1834
315	845	1830
316	847	1825
317	848	1820
318	850	1815
319	851	1810
320	853	1804
321	854	1799
322	856	1794
323	858	1790
324	859	1785
325	861	1781
326	863	1777
327	865	1772
328	866	1767
329	867	1762
330	869	1756
331	870	1751
332	871	1746
333	873	1742
334	875	1738
335	877	1734
336	878	1729
337	880	1724
338	881	1719
339	883	1714
340	884	1709
341	886	1704
342	887	1700
343	889	1695
344	890	1690
345	891	1685
346	893	1680
347	894	1675
348	895	1670
349	896	1665
350	898	1661
351	899	1656
352	901	1651
353	902	1647
354	903	1642
355	905	1637
356	906	1632
357	907	1627
358	908	1622
359	910	1618
360	911	1613
361	912	1608
362	914	1604
363	915	1599
364	917	1595
365	919	1592
366	920	1588
367	922	1583
368	923	1579
369	924	1574
370	926	1570
371	927	1565
372	928	1561
373	930	1556
374	931	1552
375	932	1548
376	935	1546
377	938	1544
378	940	1540
379	941	1536
380	943	1532
381	944	1527
382	945	1523
383	947	1520
384	949	1517
385	951	1513
386	952	1509
387	954	1505
388	955	1501
389	957	1497
390	958	1492
391	959	1488
392	961	1484
393	962	1480
394	963	1476
