iter	Passed	Remaining
0	212	212780
1	214	106838
2	220	73175
3	221	55163
4	224	44662
5	225	37400
6	229	32521
7	234	29117
8	237	26142
9	239	23722
10	241	21689
11	252	20779
12	253	19265
13	255	18003
14	256	16865
15	258	15907
16	261	15144
17	263	14394
18	265	13682
19	265	13030
20	266	12439
21	267	11900
22	269	11430
23	270	10984
24	271	10577
25	274	10276
26	281	10150
27	283	9828
28	284	9516
29	285	9221
30	287	8982
31	288	8723
32	289	8489
33	295	8403
34	297	8188
35	298	7992
36	299	7798
37	300	7610
38	301	7433
39	302	7265
40	305	7157
41	307	7011
42	308	6870
43	311	6765
44	312	6641
45	314	6520
46	315	6398
47	316	6283
48	321	6232
49	322	6129
50	324	6034
51	325	5934
52	326	5837
53	327	5743
54	328	5652
55	330	5564
56	331	5477
57	333	5413
58	335	5348
59	336	5273
60	338	5204
61	339	5132
62	340	5062
63	341	4993
64	342	4925
65	343	4859
66	344	4794
67	345	4732
68	346	4674
69	348	4630
70	349	4575
71	350	4520
72	351	4466
73	353	4419
74	354	4370
75	355	4319
76	356	4271
77	357	4224
78	358	4177
79	359	4132
80	360	4087
81	363	4065
82	363	4020
83	365	3981
84	366	3942
85	367	3908
86	368	3870
87	370	3836
88	371	3800
89	372	3763
90	373	3729
91	374	3695
92	375	3661
93	378	3643
94	379	3616
95	380	3587
96	382	3559
97	383	3533
98	385	3507
99	386	3481
100	388	3454
101	388	3424
102	389	3396
103	392	3382
104	393	3355
105	394	3328
106	395	3301
107	396	3275
108	397	3251
109	399	3231
110	400	3206
111	401	3181
112	402	3158
113	403	3134
114	404	3111
115	405	3088
116	407	3077
117	408	3054
118	409	3032
119	410	3010
120	412	2993
121	412	2971
122	413	2950
123	414	2931
124	416	2913
125	417	2895
126	418	2875
127	419	2856
128	421	2848
129	423	2831
130	424	2813
131	425	2794
132	425	2776
133	426	2758
134	428	2745
135	429	2730
136	430	2713
137	432	2698
138	433	2682
139	434	2667
140	437	2667
141	439	2657
142	443	2656
143	444	2644
144	457	2698
145	461	2697
146	463	2687
147	465	2677
148	469	2682
149	473	2683
150	475	2671
151	477	2663
152	480	2657
153	484	2663
154	493	2690
155	495	2680
156	500	2686
157	503	2681
158	506	2676
159	509	2673
160	511	2663
161	515	2666
162	518	2662
163	520	2653
164	522	2643
165	524	2633
166	525	2622
167	526	2609
168	528	2598
169	529	2587
170	532	2580
171	533	2570
172	536	2562
173	538	2554
174	539	2544
175	543	2543
176	544	2533
177	546	2523
178	548	2516
179	550	2506
180	551	2496
181	553	2486
182	554	2475
183	557	2472
184	558	2462
185	560	2451
186	564	2452
187	565	2443
188	567	2434
189	569	2426
190	572	2423
191	573	2414
192	575	2405
193	577	2397
194	579	2392
195	581	2385
196	583	2377
197	585	2370
198	587	2365
199	588	2355
200	589	2345
201	591	2337
202	593	2328
203	594	2318
204	595	2308
205	596	2298
206	597	2289
207	601	2288
208	602	2279
209	603	2269
210	605	2265
211	607	2257
212	608	2247
213	608	2236
214	609	2226
215	610	2216
216	611	2206
217	612	2196
218	613	2186
219	615	2180
220	616	2171
221	616	2162
222	617	2152
223	618	2142
224	619	2133
225	620	2124
226	621	2116
227	622	2107
228	623	2098
229	624	2089
230	625	2080
231	626	2072
232	626	2063
233	627	2055
234	628	2047
235	630	2040
236	631	2031
237	631	2023
238	632	2014
239	633	2006
240	634	1997
241	635	1989
242	636	1982
243	637	1975
244	638	1968
245	639	1961
246	641	1954
247	642	1947
248	645	1945
249	646	1940
250	647	1933
251	648	1925
252	649	1917
253	650	1911
254	651	1903
255	652	1896
256	653	1889
257	654	1883
258	655	1876
259	656	1869
260	657	1862
261	659	1857
262	660	1850
263	661	1843
264	661	1835
265	662	1828
266	663	1821
267	664	1815
268	665	1809
269	666	1802
270	667	1796
271	668	1789
272	669	1782
273	670	1775
274	671	1769
275	673	1765
276	674	1759
277	674	1753
278	675	1746
279	676	1739
280	677	1733
281	679	1729
282	680	1724
283	681	1719
284	682	1712
285	683	1706
286	684	1700
287	685	1694
288	686	1688
289	687	1684
290	688	1678
291	689	1671
292	690	1666
293	692	1662
294	693	1656
295	694	1651
296	695	1646
297	696	1641
298	698	1637
299	699	1632
300	700	1626
301	702	1624
302	703	1618
303	704	1613
304	705	1607
305	706	1601
306	707	1596
307	708	1591
308	709	1585
309	710	1580
310	710	1575
311	711	1569
312	712	1564
313	713	1559
314	714	1553
315	715	1548
316	717	1546
317	719	1542
318	720	1538
319	721	1533
320	722	1528
321	723	1524
322	725	1519
323	726	1514
324	727	1510
325	727	1504
326	728	1499
327	729	1494
328	730	1489
329	733	1488
330	734	1484
331	735	1479
332	736	1474
333	737	1470
334	738	1465
335	739	1460
336	740	1456
337	741	1451
338	742	1447
339	743	1443
340	744	1438
341	748	1439
342	750	1436
343	751	1433
